LINE_ITEM_NAME,Actual_eCPM
PWT_5b19307a78e7e_188.046,-
PWT_5b19307a78e7e_213.567,-
PWT_5b19307a78e7e_170.585,-
PWT_5b19307a78e7e_184.016,-
PWT_5b19307a78e7e_222.969,-
PWT_5b19307a78e7e_235.058,-
PWT_5b19307a78e7e_240.43,-
PWT_5b1931092505d_276.025,-
PWT_5b1931092505d_290.8,-
PWT_5b1931092505d_316.32,-
PWT_5b1931092505d_324.379,-
PWT_5b1931092505d_325.723,-
PWT_5b192ebe59b43_113.835,-
PWT_5b192ebe59b43_115.85,-
PWT_5b192ebe59b43_117.193,-
PWT_5b192ebe59b43_121.894,-
PWT_5b192ebe59b43_123.237,-
PWT_5b192ebe59b43_125.252,-
PWT_5b192ebe59b43_127.938,-
PWT_5b192ebe59b43_108.462,-
PWT_5b192ebe59b43_111.82,-
PWT_5b192ebe59b43_117.865,-
PWT_5b192ebe59b43_127.267,-
PWT_5b192ebe59b43_129.953,-
PWT_5b192ebe59b43_131.968,-
PWT_5b192ebe59b43_136.669,-
PWT_5b192ebe59b43_139.356,-
PWT_5b192ebe59b43_145.4,-
PWT_5b192ebe59b43_148.758,-
PWT_5b192ebe59b43_154.131,-
PWT_5b192ebe59b43_137.341,-
PWT_5b192ebe59b43_142.042,-
PWT_5b192ebe59b43_150.773,-
PWT_5b192ebe59b43_154.802,-
PWT_5b192ebe59b43_156.817,-
PWT_5b192ebe59b43_160.847,-
PWT_5b192d88a9fbf_12.424,-
PWT_5b192d88a9fbf_43.318,-
PWT_5b192d88a9fbf_46.676,-
PWT_5b192d88a9fbf_49.362,-
PWT_5b192e2c63cce_61.451,-
PWT_5b192e2c63cce_66.824,-
PWT_5b192e2c63cce_70.853,-
PWT_5b192e2c63cce_72.196,-
PWT_5b192e2c63cce_93.687,-
PWT_5b192e2c63cce_97.717,-
PWT_5b192e2c63cce_99.06,-
PWT_5b19295399fe7_398.348,-
PWT_5b19295399fe7_589.636,-
PWT_5b192e2c63cce_67.495,-
PWT_5b19307a78e7e_174.614,-
PWT_5b19307a78e7e_221.626,-
PWT_5b19307a78e7e_244.46,-
PWT_5b19307a78e7e_175.957,-
PWT_5b19307a78e7e_189.389,-
PWT_5b19307a78e7e_192.076,-
PWT_5b19307a78e7e_217.596,-
PWT_5b19307a78e7e_255.205,-
PWT_5b1931092505d_341.841,-
PWT_5b192e2c63cce_107.119,-
PWT_5b192ebe59b43_126.595,-
PWT_5b192ebe59b43_155.474,-
PWT_5b192ebe59b43_158.832,-
PWT_5b192ebe59b43_140.027,-
PWT_5b192ebe59b43_144.728,-
PWT_5b192ebe59b43_153.459,-
PWT_5b192e2c63cce_73.539,-
PWT_5b19295399fe7_388.281,-
PWT_5b192bb1e9219_1145.066,-
PWT_5b192e2c63cce_75.554,-
PWT_5b192e2c63cce_78.241,-
PWT_5b192e2c63cce_101.075,-
PWT_5b19307a78e7e_201.478,-
PWT_5b19307a78e7e_205.507,-
PWT_5b19307a78e7e_197.448,-
PWT_5b19307a78e7e_228.342,-
PWT_5b1931092505d_284.084,-
PWT_5b1931092505d_309.604,-
PWT_5b1931092505d_308.261,-
PWT_5b1931092505d_361.989,-
PWT_5b192ebe59b43_128.61,-
PWT_5b192ebe59b43_133.311,-
PWT_5b192ebe59b43_157.489,-
PWT_5b192ebe59b43_160.175,-
PWT_5b192ebe59b43_159.503,-
PWT_5b192bb1e9219_1165.214,-
PWT_5b1931092505d_306.918,-
PWT_5b1931092505d_321.693,-
PWT_5b192ebe59b43_143.385,-
PWT_5b192ebe59b43_146.743,-
PWT_5b192ebe59b43_148.086,-
PWT_5b192e2c63cce_105.776,-
PWT_5b19295399fe7_445.331,-
PWT_5b19307a78e7e_200.135,-
PWT_5b1931092505d_302.888,-
PWT_5b1931092505d_312.291,-
PWT_5b1931092505d_368.705,-
PWT_5b192ebe59b43_109.805,-
PWT_5b192ebe59b43_116.521,-
PWT_5b192ebe59b43_119.208,-
PWT_5b19295399fe7_603.06,-
PWT_5b19295399fe7_378.213,-
PWT_5b19295399fe7_478.89,-
PWT_5b192bb1e9219_943.588,-
PWT_5b192e2c63cce_102.418,-
PWT_5b192ebe59b43_132.64,-
PWT_5b192bb1e9219_1178.646,-
PWT_5b19295399fe7_482.246,-
PWT_5b192ebe59b43_120.551,-
PWT_5b19295399fe7_411.772,-
PWT_5b19307a78e7e_182.673,-
PWT_5b19307a78e7e_210.88,-
PWT_5b19307a78e7e_253.862,-
PWT_5b19307a78e7e_212.223,-
PWT_5b19307a78e7e_237.744,-
PWT_5b19307a78e7e_257.892,-
PWT_5b1931092505d_366.018,-
